Survived,Pclass,Sex,Age,Fare,Embarked,FamilySize
0,3,1,0.38623104829163113,-0.49741333194918286,Q,0
1,3,0,1.3713700413713346,-0.5122780073786185,S,1
0,2,1,2.5535368330669788,-0.4641004685259794,Q,0
0,3,1,-0.2048523475561909,-0.48247515776279987,S,0
1,3,0,-0.5989079447880722,-0.41749150070575175,S,2
0,3,1,-1.2293969003590823,-0.4723914868401545,S,0
1,3,0,0.031581010782937916,-0.5009986371661234,Q,0
0,2,1,-0.28366346700256717,-0.11789443351515412,S,2
1,3,0,-0.9141524225735773,-0.5081692476000046,C,0
0,3,1,-0.6777190642344485,-0.20483808502596335,S,2
0,3,1,-0.2048523475561909,-0.4962194253119416,S,0
0,1,1,1.2925589219249582,-0.1716740117692629,S,0
1,1,0,-0.520096825341696,0.8369924534808912,S,1
0,2,1,2.632347952513355,-0.1716740117692629,S,1
1,1,0,1.3713700413713346,0.4588915432601625,S,1
1,2,0,-0.4412857058953197,-0.1408260456827061,C,1
0,2,1,0.4256366080148193,-0.4163710928254578,Q,0
0,3,1,-0.6777190642344485,-0.5082445390095603,C,0
1,3,0,-0.2048523475561909,-0.4956959707502683,S,1
1,3,0,1.213747802478582,-0.5082445390095603,C,0
0,1,1,2.0018589969423446,0.4270719594598148,C,1
0,3,1,-1.6234524975909637,-0.5809222610621629,S,1
1,1,0,-0.2048523475561909,-0.06979218607207077,S,0
0,1,1,-0.6777190642344485,0.46255213988665883,C,1
1,1,0,1.4501811608177106,4.065708591502392,C,4
0,3,1,1.6078033997104633,-0.3778290617433466,S,1
1,1,0,-0.5989079447880722,0.4733080555374806,C,1
0,3,1,-0.5595023850648841,-0.5082445390095603,C,0
0,1,1,0.8985033246930769,-0.09100464438809973,S,0
0,3,1,-0.2048523475561909,-0.24913094567604727,C,2
0,2,1,1.6078033997104633,-0.1716740117692629,S,1
0,2,1,-0.4412857058953197,-0.0730781183033968,S,2
1,3,0,0.2680143691220667,-0.26892541577877627,S,3
1,3,0,-0.2048523475561909,-0.2173866532852554,S,3
0,1,1,0.031581010782937916,0.397493191420055,C,1
0,3,1,-0.8747468628503892,-0.5081692476000046,C,0
1,3,0,-0.2048523475561909,-0.4934551549896804,S,0
1,3,0,-0.6777190642344485,-0.48247515776279987,S,0
0,3,1,-0.3624745864489434,-0.4674616921668612,S,0
0,3,1,-0.2048523475561909,0.37500974240462065,S,0
0,3,1,0.7408810858003243,-0.39724886745090526,C,1
0,1,1,-0.2048523475561909,-0.16181442242267627,S,0
0,3,1,0.8985033246930769,-0.497040460206621,S,0
1,2,0,0.031581010782937916,-0.40471885087040094,S,0
1,1,0,1.213747802478582,0.3043505471891556,S,1
0,3,1,-0.3624745864489434,-0.4956959707502683,S,0
0,1,1,1.213747802478582,-0.10534586525586208,C,0
0,3,1,-0.2048523475561909,-0.4988331128150913,Q,0
1,1,0,2.395914594174226,0.7298814601247914,C,0
1,3,0,0.5044477274611955,-0.3527319252247625,S,2
0,1,1,-0.4412857058953197,0.4378278751106366,S,1
0,2,1,-0.2048523475561909,-0.3682688453823745,C,0
1,2,0,-0.7565301836808248,-0.22545359002337167,S,3
1,1,0,-0.1260412281098146,4.07691267030533,S,5
0,2,1,-0.2048523475561909,-0.35848275479273517,C,0
0,3,1,-1.5446413781445874,-0.11565361775456626,Q,5
0,3,1,0.4256366080148193,-0.4962194253119416,S,0
0,3,1,-0.3624745864489434,-0.5006257654235616,S,0
0,3,1,-0.2048523475561909,-0.3491466200078219,S,1
1,1,0,0.5044477274611955,4.065708591502392,C,0
0,3,1,-0.9929635420199536,-0.4962194253119416,S,0
0,2,1,0.18920324967569047,-0.3957555878280495,S,0
0,3,1,-0.9141524225735773,-0.4988331128150913,S,0
1,3,0,-0.5989079447880722,-0.49928127596720884,Q,0
0,1,1,-1.3082080198054586,4.065708591502392,C,4
1,2,0,-0.2048523475561909,-0.26130664219277755,S,0
1,3,0,-0.9141524225735773,-0.49651700564494766,Q,0
0,1,1,1.3713700413713346,0.12232101601986507,S,0
0,1,1,0.11039213022931418,-0.1261854518293292,C,0
1,1,0,2.395914594174226,4.07691267030533,S,5
1,3,0,-0.4412857058953197,-0.4988331128150913,Q,0
0,3,1,-0.6777190642344485,-0.4962194253119416,S,0
1,3,0,-0.04723010866343835,-0.4956959707502683,S,0
0,1,1,-0.08663566838662648,-0.1408260456827061,C,0
1,1,0,0.4256366080148193,3.15369657694313,C,0
0,1,1,0.2286088093988786,3.15369657694313,C,0
0,3,1,-0.2048523475561909,-0.4934551549896804,S,0
1,1,0,2.0018589969423446,-0.17705196959467379,S,2
0,2,1,0.031581010782937916,-0.40471885087040094,S,0
1,3,0,-0.4412857058953197,-0.4988331128150913,Q,0
0,3,1,-1.8598858559300926,-0.3644594585893751,C,2
0,1,1,2.9475924302988603,3.3379669238730085,S,1
0,1,1,1.528992280264087,-0.1716740117692629,S,0
0,3,1,-0.2048523475561909,-0.4962194253119416,S,0
0,2,1,-0.2048523475561909,-0.4458010706987146,Q,0
0,3,1,-0.2048523475561909,-0.37865009663802596,C,1
1,3,0,-0.2048523475561909,-0.49651700564494766,Q,0
1,3,0,-0.9141524225735773,-0.4934551549896804,S,0
1,3,0,-0.2048523475561909,-0.4988331128150913,Q,0
0,2,1,-2.1751303337155976,-0.22545359002337167,S,2
1,3,0,-0.5989079447880722,-0.38858497739416836,S,1
0,3,1,-0.2048523475561909,-0.49838494966297375,S,0
1,1,0,-0.2048523475561909,0.2944156664330132,S,3
0,3,1,-0.2048523475561909,-0.4934551549896804,S,0
0,1,1,-0.3624745864489434,-0.1716740117692629,C,0
0,3,1,-0.3624745864489434,-0.4980120779204119,S,0
1,1,0,3.6568925053162467,0.7757428918072866,S,1
0,3,1,-0.04723010866343835,-0.4956959707502683,S,0
1,3,0,-0.7565301836808248,-0.4969651687970653,S,0
0,3,1,0.2680143691220667,-0.4934551549896804,S,0
1,1,0,1.0561255635858293,0.3561133912587352,C,1
0,2,1,-0.2048523475561909,-0.1716740117692629,S,1
0,3,1,-0.2048523475561909,-0.4988331128150913,Q,0
0,3,1,-0.28366346700256717,-0.49838494966297375,S,0
1,3,0,-1.07177466146633,-0.4850888452659496,C,2
0,3,1,-0.1260412281098146,-0.2339686899136056,S,0
0,3,1,-0.6777190642344485,-0.49756391476829437,Q,0
0,3,1,-0.2048523475561909,-0.4988331128150913,Q,0
0,3,1,-0.2048523475561909,-0.4815788314585648,S,0
0,2,1,-0.8747468628503892,-0.40471885087040094,S,0
0,2,1,0.8985033246930769,-0.3680447638063157,C,0
1,3,0,-0.2048523475561909,-0.498309658253418,Q,0
1,1,0,0.5044477274611955,-0.06986568482901802,C,0
1,3,0,-0.8747468628503892,-0.5071994225388221,Q,0
1,1,0,2.632347952513355,3.3379669238730085,S,1
0,3,1,-0.9141524225735773,-0.37865009663802596,C,1
0,3,1,-0.2048523475561909,-0.5223616783012639,C,0
1,3,0,-2.253941453161974,-0.33839070435700014,S,2
0,1,1,0.5044477274611955,0.711058607735853,C,0
1,2,0,-0.04723010866343835,-0.1716740117692629,S,1
1,2,0,-1.387019139251835,-0.3554209041374679,S,0
0,3,1,-0.2048523475561909,-0.4988331128150913,Q,1
1,1,0,0.4256366080148193,0.397493191420055,C,1
0,3,1,-0.1260412281098146,-0.5077963758574427,S,0
0,3,1,-0.2048523475561909,-0.4988331128150913,Q,0
1,3,0,-0.9929635420199536,-0.3491466200078219,S,1
0,3,1,-0.5989079447880722,-0.4980120779204119,S,0
1,3,0,-0.2048523475561909,-0.22097195850219595,Q,2
0,2,1,0.9773144441394531,-0.40471885087040094,S,0
0,3,1,-0.4412857058953197,-0.4934551549896804,S,0
0,3,1,0.18920324967569047,-0.4934551549896804,S,0
0,1,1,1.8442367580495922,-0.1268576965575056,C,0
1,3,0,-0.2048523475561909,-0.181234228130235,S,4
0,3,1,-0.2048523475561909,-0.5223616783012639,C,1
0,3,1,1.0561255635858293,-0.4962194253119416,S,0
0,3,1,-0.4412857058953197,-0.4969651687970653,S,0
0,3,1,-0.24425790727937902,-0.5082445390095603,C,0
0,2,1,-0.28366346700256717,-0.40471885087040094,S,0
1,3,0,-0.520096825341696,-0.4934551549896804,S,0
0,3,1,0.8196922052467006,0.20299038340102823,S,7
1,3,0,-1.5446413781445874,0.20299038340102823,S,7
1,1,0,0.2680143691220667,2.07900133816519,S,0
0,1,1,2.4747257136206025,4.065708591502392,C,4
0,2,1,-0.1260412281098146,-0.1716740117692629,S,0
0,1,1,0.9773144441394531,-0.16181442242267627,S,0
0,3,1,0.11039213022931418,-0.31508622044688633,S,3
0,1,1,-0.2048523475561909,0.29195076909636647,S,0
0,3,1,-0.5989079447880722,-0.4934551549896804,S,0
0,1,1,-0.2048523475561909,-0.16181442242267627,S,0
0,2,1,0.031581010782937916,-0.1716740117692629,S,2
1,1,0,-0.520096825341696,0.8529757441380124,C,1
0,3,1,-0.2048523475561909,-0.4962194253119416,C,0
0,3,1,2.4353201538974143,-0.37865009663802596,S,0
1,3,0,0.5044477274611955,-0.41935944472377784,S,2
0,3,1,-1.3082080198054586,-0.0750948524879259,S,6
0,3,1,-0.4412857058953197,-0.5024184180320319,S,0
1,1,0,-0.04723010866343835,3.3379669238730085,S,0
1,3,0,-0.520096825341696,-0.4969651687970653,S,0
0,1,1,0.9773144441394531,-0.16181442242267627,S,0
1,3,0,-0.28366346700256717,-0.3908257931547562,S,2
1,3,0,-0.2048523475561909,-0.49913248580070585,Q,0
0,3,1,-1.7810747364837163,-0.3644594585893751,C,2
1,2,0,-0.28366346700256717,-0.3957555878280495,S,0
0,3,1,-0.2048523475561909,-0.5122780073786185,S,0
0,2,1,0.8985033246930769,-0.40471885087040094,S,0
1,3,0,-0.28366346700256717,-0.24293195295595707,S,2
0,1,1,1.4501811608177106,0.2674505858964031,C,0
0,3,1,-0.9141524225735773,-0.02153935580987589,S,4
1,1,0,-0.2048523475561909,-0.1408260456827061,C,0
1,3,0,-0.5989079447880722,-0.477097199937389,S,0
0,3,1,-0.2048523475561909,-0.5024184180320319,S,0
0,3,1,-0.2048523475561909,-0.5082445390095603,C,0
0,3,1,-0.520096825341696,-0.38858497739416836,S,1
0,3,1,-0.2048523475561909,-0.5081692476000046,C,0
0,3,1,0.8196922052467006,-0.0750948524879259,S,6
1,2,0,-1.150585780912706,0.06137082733187515,S,2
1,2,0,-0.7565301836808248,0.02103614364129356,S,0
